,capacity,countFull,countEmpty
0,0.000000,0,0
1,1.000000,0,6
2,3.000000,0,6
3,4.000000,0,6
4,10.000000,0,6
5,11.000000,0,6
6,13.000000,0,6
7,18.000000,0,6
8,17.000000,0,6
9,17.000000,0,6
10,21.000000,0,6
11,24.000000,0,6
12,25.000000,0,6
13,25.000000,0,6
14,27.000002,0,6
15,29.000000,0,6
16,30.000002,0,6
17,31.000000,0,6
18,30.000002,0,6
19,31.000000,0,6
20,32.000000,0,6
21,33.000000,0,6
22,30.000002,0,6
23,30.000002,0,6
24,34.000000,0,6
25,35.000000,0,6
26,37.000000,0,6
27,37.000000,0,6
28,36.000000,0,6
29,39.000000,0,6
30,41.000000,0,6
31,42.000000,0,6
32,40.000000,0,6
33,40.000000,0,6
34,40.000000,0,6
35,41.000000,0,6
36,41.000000,0,6
37,44.000000,0,6
38,44.000000,0,6
39,45.000000,0,6
40,47.000000,0,6
41,49.000000,0,6
42,48.000000,0,6
43,52.999996,0,6
44,52.999996,0,6
45,54.000004,0,6
46,55.000000,0,6
47,57.000000,0,6
48,56.000000,0,6
49,55.000000,0,6
50,52.000000,0,6
51,52.000000,0,6
52,54.000004,0,6
53,54.000004,0,6
54,58.999996,0,6
55,58.000000,0,6
56,58.000000,0,6
57,57.000000,0,6
58,56.000000,0,6
59,57.000000,0,6
