,capacity,countFull,countEmpty
0,0.000000,0,0
1,0.000000,0,13
2,0.000000,0,22
3,0.000000,0,26
4,0.000000,0,33
5,0.000000,0,40
6,0.000000,0,43
7,0.000000,0,52
8,0.000000,0,65
9,0.000000,0,71
10,0.000000,0,77
11,0.000000,0,83
12,0.000000,0,89
13,0.000000,0,97
14,0.000000,0,111
15,0.000000,0,115
16,0.000000,0,122
17,0.000000,0,132
18,0.000000,0,142
19,0.000000,0,149
20,0.000000,0,156
21,0.000000,0,166
22,0.000000,0,174
23,0.000000,0,181
24,0.000000,0,190
25,0.000000,0,194
26,0.000000,0,201
27,0.000000,0,208
28,0.000000,0,217
29,0.000000,0,221
30,0.000000,0,229
31,4.000000,0,233
32,8.000000,0,239
33,12.000000,0,239
34,4.000000,0,242
35,0.000000,0,252
36,0.000000,0,259
37,0.000000,0,266
38,0.000000,0,275
39,0.000000,0,285
40,0.000000,0,294
41,0.000000,0,298
42,0.000000,0,311
43,0.000000,0,318
44,0.000000,0,321
45,0.000000,0,329
46,0.000000,0,336
47,0.000000,0,345
48,0.000000,0,350
49,0.000000,0,357
50,0.000000,0,364
51,0.000000,0,370
52,0.000000,0,382
53,0.000000,0,391
54,0.000000,0,396
55,0.000000,0,402
56,0.000000,0,411
57,0.000000,0,416
58,0.000000,0,426
59,0.000000,0,435
