,capacity,countFull,countEmpty
0,0.000000,0,0
1,0.000000,0,10
2,0.000000,0,13
3,0.000000,0,16
4,0.000000,0,17
5,20.000000,0,17
6,44.000000,0,17
7,76.000000,0,17
8,72.000000,0,17
9,68.000000,0,17
10,76.000000,0,17
11,76.000000,0,17
12,84.000000,0,17
13,84.000000,0,17
14,72.000000,0,17
15,68.000000,0,17
16,72.000000,0,17
17,76.000000,0,17
18,84.000000,0,17
19,80.000000,0,17
20,88.000000,0,17
21,84.000000,0,17
22,92.000000,0,17
23,84.000000,0,17
24,76.000000,0,17
25,76.000000,0,17
26,76.000000,0,17
27,80.000000,0,17
28,76.000000,0,17
29,72.000000,0,17
30,80.000000,0,17
31,84.000000,0,17
32,88.000000,0,17
33,84.000000,0,17
34,76.000000,0,17
35,76.000000,0,17
36,84.000000,0,17
37,84.000000,0,17
38,88.000000,0,17
39,84.000000,0,17
40,88.000000,0,17
41,84.000000,0,17
42,88.000000,0,17
43,84.000000,0,17
44,72.000000,0,17
45,72.000000,0,17
46,76.000000,0,17
47,76.000000,0,17
48,80.000000,0,17
49,76.000000,0,17
50,68.000000,0,17
51,52.000000,0,17
52,48.000000,0,17
53,60.000004,0,17
54,76.000000,0,17
55,80.000000,0,17
56,80.000000,0,17
57,80.000000,0,17
58,76.000000,0,17
59,76.000000,0,17
