capacity,timestamp,countFull,countEmpty
4.000000,446500,0,1
0.000000,492100,0,1
4.000000,759500,0,2
0.000000,796400,0,2
4.000000,1147100,0,4
0.000000,1189300,0,4
4.000000,1509900,0,5
0.000000,1552100,0,5
4.000000,1899300,0,7
0.000000,1925100,0,7
4.000000,2150900,0,8
0.000000,2191300,0,8
4.000000,2419800,0,9
0.000000,2445500,0,9
4.000000,2676400,0,11
0.000000,2702400,0,11
4.000000,2950600,0,13
0.000000,2999200,0,13
4.000000,3256900,0,14
0.000000,3311300,0,14
4.000000,902964000,0,14
0.000000,903022800,0,14
4.000000,1487880500,0,20
0.000000,1487949300,0,20
4.000000,2004944400,0,21
0.000000,2005023100,0,21
4.000000,2063945700,0,21
0.000000,2064012400,0,21
4.000000,2621822800,0,22
0.000000,2621917900,0,22
4.000000,3057232600,0,23
0.000000,3057312500,0,23
4.000000,3670149600,0,25
0.000000,3670195300,0,25
4.000000,3799363300,0,25
0.000000,3799434700,0,25
4.000000,4523544100,0,26
0.000000,4523646200,0,26
4.000000,4810200800,0,28
0.000000,4810268400,0,28
4.000000,5086711200,0,28
0.000000,5086790200,0,28
4.000000,5531724000,0,29
0.000000,5531938100,0,29
4.000000,5708877100,0,29
0.000000,5708941200,0,29
4.000000,5864785100,0,30
0.000000,5864850900,0,30
4.000000,5926767500,0,30
0.000000,5926836300,0,30
4.000000,5957857600,0,30
0.000000,5957971700,0,30
4.000000,6356679100,0,31
0.000000,6356747500,0,31
4.000000,6618110100,0,32
0.000000,6618197300,0,32
4.000000,6786100300,0,33
0.000000,6786168100,0,33
4.000000,6897046800,0,34
0.000000,6897105600,0,34
4.000000,7001051800,0,36
0.000000,7001121400,0,36
4.000000,7319160100,0,36
0.000000,7319247300,0,36
4.000000,7548140100,0,37
0.000000,7548205900,0,37
4.000000,7549141900,0,37
0.000000,7549193600,0,37
4.000000,7860927200,0,39
0.000000,7860978700,0,39
4.000000,8002036000,0,40
0.000000,8002108600,0,40
4.000000,8406961200,0,42
0.000000,8407027900,0,42
4.000000,8727884500,0,44
0.000000,8727950700,0,44
4.000000,9787924400,0,48
0.000000,9787981800,0,48
4.000000,9870677700,0,48
0.000000,9870790900,0,48
4.000000,10139923300,0,48
0.000000,10140007000,0,48
4.000000,10217013900,0,48
0.000000,10217065900,0,48
4.000000,10451934800,0,48
0.000000,10452009400,0,48
4.000000,10570909100,0,48
0.000000,10570955300,0,48
4.000000,10574905300,0,48
0.000000,10574951200,0,48
4.000000,10610901500,0,48
0.000000,10610977000,0,48
4.000000,10733045500,0,48
0.000000,10733099900,0,48
4.000000,11076982300,0,51
0.000000,11077035900,0,51
4.000000,11085982900,0,51
0.000000,11086058700,0,51
4.000000,12287712000,0,59
0.000000,12287780800,0,59
4.000000,12300706600,0,60
0.000000,12300765700,0,60
4.000000,12925468300,0,60
0.000000,12925559500,0,60
4.000000,12932499300,0,60
0.000000,12932556600,0,60
4.000000,13277810000,0,61
0.000000,13277872600,0,61
4.000000,13619896500,0,63
0.000000,13619981000,0,63
4.000000,13860929000,0,63
0.000000,13860985200,0,63
4.000000,14578965000,0,64
0.000000,14579020000,0,64
4.000000,14712914000,0,66
0.000000,14712995700,0,66
4.000000,15140459900,0,68
0.000000,15140515500,0,68
4.000000,15484633600,0,69
0.000000,15484713700,0,69
4.000000,15639221400,0,70
0.000000,15639298600,0,70
4.000000,15798798700,0,71
0.000000,15798850800,0,71
4.000000,15989576300,0,72
0.000000,15989624000,0,72
4.000000,16103653000,0,73
0.000000,16103707100,0,73
4.000000,16187198800,0,73
0.000000,16187266400,0,73
4.000000,16392201500,0,74
0.000000,16392277900,0,74
4.000000,16968498600,0,75
0.000000,16968563000,0,75
4.000000,17227435200,0,77
0.000000,17227520600,0,77
4.000000,17351490400,0,78
0.000000,17351546000,0,78
4.000000,17382461000,0,79
0.000000,17382527100,0,79
4.000000,17866561300,0,79
0.000000,17866648200,0,79
4.000000,17977909200,0,79
0.000000,17977975300,0,79
4.000000,18055856000,0,79
0.000000,18055938800,0,79
4.000000,18099642200,0,80
0.000000,18099706200,0,80
4.000000,18324663700,0,80
0.000000,18324738000,0,80
4.000000,18655938300,0,82
0.000000,18656009700,0,82
4.000000,18734632700,0,82
0.000000,18734721400,0,82
4.000000,18895629000,0,84
0.000000,18895680800,0,84
4.000000,19003584500,0,86
0.000000,19003696600,0,86
4.000000,20073023200,0,89
0.000000,20073087900,0,89
4.000000,20504578400,0,89
0.000000,20504652800,0,89
4.000000,21141351600,0,90
0.000000,21141428900,0,90
4.000000,21606207800,0,91
0.000000,21606304600,0,91
4.000000,22159091300,0,93
0.000000,22159134600,0,93
4.000000,22161072000,0,93
0.000000,22161101300,0,93
4.000000,22341957800,0,93
0.000000,22342020100,0,93
4.000000,22544145400,0,93
0.000000,22544221200,0,93
4.000000,22696120200,0,93
0.000000,22696190700,0,93
4.000000,22716167500,0,93
0.000000,22716219000,0,93
4.000000,22840945500,0,93
0.000000,22841009300,0,93
4.000000,22932923500,0,93
0.000000,22932977600,0,93
4.000000,23105405500,0,93
0.000000,23105493600,0,93
4.000000,23341770600,0,96
0.000000,23341834700,0,96
4.000000,23448780800,0,98
0.000000,23448862700,0,98
4.000000,23748959000,0,102
0.000000,23749014000,0,102
4.000000,24061568300,0,105
0.000000,24061625600,0,105
