,capacity,countFull,countEmpty
0,0.000000,0,0
1,8.000000,0,6
2,18.000000,0,6
3,36.000000,0,6
4,38.000000,0,6
5,40.000000,0,6
6,38.000000,0,6
7,48.000000,0,6
8,44.000000,0,6
9,52.000000,0,6
10,50.000000,0,6
11,58.000000,0,6
12,66.000000,0,6
13,68.000000,0,6
14,72.000000,0,6
15,70.000000,0,6
16,68.000000,0,6
17,64.000000,0,6
18,62.000000,0,6
19,60.000004,0,6
20,66.000000,0,6
21,62.000000,0,6
22,58.000000,0,6
23,56.000000,0,6
24,52.000000,0,6
25,56.000000,0,6
26,56.000000,0,6
27,62.000000,0,6
28,70.000000,0,6
29,70.000000,0,6
30,68.000000,0,6
31,60.000004,0,6
32,68.000000,0,6
33,56.000000,0,6
34,38.000000,0,6
35,10.000000,0,6
36,2.000000,0,6
37,12.000000,0,6
38,12.000000,0,6
39,14.000000,0,6
40,22.000000,0,6
41,26.000000,0,6
42,18.000000,0,6
43,0.000000,0,7
44,0.000000,0,13
45,2.000000,0,17
46,0.000000,0,22
47,8.000000,0,24
48,4.000000,0,26
49,4.000000,0,28
50,14.000000,0,28
51,24.000000,0,28
52,24.000000,0,28
53,32.000000,0,28
54,38.000000,0,28
55,34.000000,0,28
56,30.000002,0,28
57,40.000000,0,28
58,48.000000,0,28
59,56.000000,0,28
