,capacity,countFull,countEmpty
0,0.000000,0,0
1,80.000000,0,11
2,96.000000,0,11
3,100.000000,5,11
4,100.000000,10,11
5,100.000000,13,11
6,100.000000,16,11
7,100.000000,17,11
8,100.000000,19,11
9,100.000000,21,11
10,100.000000,24,11
11,100.000000,26,11
12,100.000000,27,11
13,100.000000,28,11
14,100.000000,31,11
15,100.000000,34,11
16,100.000000,38,11
17,100.000000,42,11
18,100.000000,44,11
19,100.000000,48,11
20,100.000000,52,11
21,100.000000,55,11
22,100.000000,63,11
23,100.000000,67,11
24,100.000000,69,11
25,100.000000,75,11
26,100.000000,76,11
27,100.000000,77,11
28,100.000000,79,11
29,100.000000,82,11
30,100.000000,84,11
31,100.000000,88,11
32,100.000000,94,11
33,100.000000,98,11
34,100.000000,101,11
35,84.000000,103,11
36,84.000000,103,11
37,100.000000,109,11
38,100.000000,114,11
39,100.000000,118,11
40,100.000000,121,11
41,100.000000,129,11
42,100.000000,134,11
43,100.000000,134,11
44,100.000000,138,11
45,100.000000,145,11
46,100.000000,152,11
47,100.000000,154,11
48,100.000000,158,11
49,100.000000,163,11
50,100.000000,173,11
51,100.000000,175,11
52,100.000000,177,11
53,100.000000,182,11
54,100.000000,184,11
55,100.000000,185,11
56,100.000000,189,11
57,100.000000,192,11
58,100.000000,193,11
59,100.000000,195,11
