,capacity,countFull,countEmpty
0,0.000000,0,0
1,25.000000,0,15
2,43.000000,0,15
3,47.000000,0,15
4,45.000000,0,15
5,39.000000,0,15
6,28.000000,0,15
7,0.000000,0,32
8,0.000000,0,70
9,0.000000,0,102
10,40.000000,0,104
11,38.000000,0,104
12,33.000000,0,104
13,32.000000,0,104
14,25.000000,0,104
15,31.000000,0,104
16,31.000000,0,104
17,23.000000,0,104
18,23.000000,0,104
19,17.000000,0,104
20,18.000000,0,104
21,28.000000,0,104
22,13.000000,0,104
23,33.000000,0,104
24,23.000000,0,104
25,20.000000,0,104
26,32.000000,0,104
27,23.000000,0,104
28,12.000000,0,109
29,19.000000,0,109
30,35.000000,0,109
31,27.000002,0,109
32,16.000000,0,109
33,38.000000,0,109
34,32.000000,0,109
35,28.000000,0,109
36,17.000000,0,109
37,0.000000,0,113
38,2.000000,0,151
39,13.000000,0,167
40,0.000000,0,170
41,0.000000,0,184
42,5.000000,0,205
43,7.000000,0,209
44,30.000002,0,209
45,3.000000,0,209
46,7.000000,0,212
47,32.000000,0,212
48,31.000000,0,212
49,37.000000,0,212
50,37.000000,0,212
51,40.000000,0,212
52,41.000000,0,212
53,16.000000,0,212
54,22.000000,0,212
55,24.000000,0,212
56,23.000000,0,212
57,17.000000,0,212
58,35.000000,0,212
59,14.000000,0,212
