,capacity,countFull,countEmpty
0,0.000000,0,0
1,44.000000,0,6
2,58.000000,0,6
3,68.000000,0,6
4,88.000000,0,6
5,100.000000,0,6
6,100.000000,8,6
7,100.000000,10,6
8,100.000000,10,6
9,100.000000,11,6
10,100.000000,11,6
11,100.000000,12,6
12,100.000000,15,6
13,100.000000,18,6
14,100.000000,19,6
15,100.000000,19,6
16,100.000000,20,6
17,100.000000,20,6
18,100.000000,21,6
19,100.000000,21,6
20,100.000000,21,6
21,100.000000,21,6
22,100.000000,25,6
23,100.000000,27,6
24,100.000000,28,6
25,100.000000,30,6
26,100.000000,30,6
27,100.000000,30,6
28,100.000000,31,6
29,100.000000,31,6
30,100.000000,31,6
31,100.000000,32,6
32,100.000000,32,6
33,100.000000,38,6
34,100.000000,39,6
35,100.000000,39,6
36,100.000000,40,6
37,100.000000,41,6
38,100.000000,41,6
39,100.000000,41,6
40,100.000000,41,6
41,100.000000,42,6
42,100.000000,45,6
43,100.000000,46,6
44,100.000000,47,6
45,100.000000,49,6
46,100.000000,50,6
47,100.000000,51,6
48,100.000000,51,6
49,100.000000,52,6
50,100.000000,55,6
51,100.000000,57,6
52,100.000000,59,6
53,100.000000,60,6
54,100.000000,61,6
55,100.000000,61,6
56,100.000000,63,6
57,100.000000,64,6
58,100.000000,67,6
59,100.000000,68,6
