,capacity,countFull,countEmpty
0,0.000000,0,0
1,0.000000,0,9
2,3.000000,0,9
3,10.000000,0,9
4,16.000000,0,9
5,25.000000,0,9
6,32.000000,0,9
7,37.000000,0,9
8,39.000000,0,9
9,42.000000,0,9
10,42.000000,0,9
11,43.000000,0,9
12,46.000000,0,9
13,51.000000,0,9
14,52.000000,0,9
15,51.000000,0,9
16,54.000004,0,9
17,58.000000,0,9
18,57.000000,0,9
19,58.999996,0,9
20,62.000000,0,9
21,63.000000,0,9
22,65.000000,0,9
23,66.000000,0,9
24,69.000000,0,9
25,73.000000,0,9
26,75.000000,0,9
27,77.000000,0,9
28,77.000000,0,9
29,78.000000,0,9
30,80.000000,0,9
31,83.000000,0,9
32,82.000000,0,9
33,83.000000,0,9
34,86.000000,0,9
35,85.000000,0,9
36,89.000000,0,9
37,92.000000,0,9
38,93.000000,0,9
39,93.000000,0,9
40,98.000000,0,9
41,99.000000,0,9
42,100.000000,1,9
43,100.000000,2,9
44,99.000000,2,9
45,99.000000,2,9
46,100.000000,4,9
47,100.000000,7,9
48,100.000000,9,9
49,100.000000,11,9
50,100.000000,12,9
51,100.000000,12,9
52,100.000000,12,9
53,100.000000,15,9
54,100.000000,15,9
55,100.000000,18,9
56,100.000000,19,9
57,100.000000,22,9
58,100.000000,24,9
59,100.000000,26,9
