,capacity,countFull,countEmpty
0,0.000000,0,0
1,9.000000,0,6
2,39.000000,0,6
3,42.000000,0,6
4,55.000000,0,6
5,66.000000,0,6
6,65.000000,0,6
7,74.000000,0,6
8,81.000000,0,6
9,91.000000,0,6
10,100.000000,2,6
11,100.000000,8,6
12,100.000000,13,6
13,100.000000,17,6
14,100.000000,21,6
15,100.000000,22,6
16,100.000000,25,6
17,100.000000,30,6
18,100.000000,32,6
19,100.000000,33,6
20,100.000000,38,6
21,100.000000,45,6
22,100.000000,47,6
23,100.000000,53,6
24,100.000000,54,6
25,100.000000,59,6
26,100.000000,60,6
27,100.000000,65,6
28,100.000000,68,6
29,100.000000,69,6
30,100.000000,69,6
31,99.000000,71,6
32,96.000000,71,6
33,100.000000,79,6
34,100.000000,85,6
35,100.000000,88,6
36,87.000000,88,6
37,98.000000,88,6
38,100.000000,93,6
39,100.000000,99,6
40,100.000000,107,6
41,100.000000,115,6
42,100.000000,121,6
43,100.000000,123,6
44,98.000000,129,6
45,100.000000,135,6
46,100.000000,141,6
47,100.000000,147,6
48,100.000000,149,6
49,100.000000,157,6
50,100.000000,164,6
51,100.000000,169,6
52,100.000000,171,6
53,100.000000,176,6
54,100.000000,177,6
55,100.000000,180,6
56,100.000000,182,6
57,100.000000,185,6
58,100.000000,188,6
59,100.000000,189,6
