,capacity,countFull,countEmpty
0,0.000000,0,0
1,2.000000,0,2
2,0.000000,0,4
3,2.000000,0,4
4,8.000000,0,4
5,14.000000,0,4
6,20.000000,0,4
7,18.000000,0,4
8,28.000000,0,4
9,30.000002,0,4
10,38.000000,0,4
11,40.000000,0,4
12,34.000000,0,4
13,34.000000,0,4
14,36.000000,0,4
15,34.000000,0,4
16,36.000000,0,4
17,40.000000,0,4
18,42.000000,0,4
19,42.000000,0,4
20,44.000000,0,4
21,46.000000,0,4
22,48.000000,0,4
23,44.000000,0,4
24,44.000000,0,4
25,48.000000,0,4
26,50.000000,0,4
27,54.000004,0,4
28,56.000000,0,4
29,56.000000,0,4
30,62.000000,0,4
31,62.000000,0,4
32,58.000000,0,4
33,62.000000,0,4
34,60.000004,0,4
35,58.000000,0,4
36,60.000004,0,4
37,58.000000,0,4
38,60.000004,0,4
39,64.000000,0,4
40,64.000000,0,4
41,68.000000,0,4
42,66.000000,0,4
43,66.000000,0,4
44,68.000000,0,4
45,66.000000,0,4
46,66.000000,0,4
47,68.000000,0,4
48,70.000000,0,4
49,68.000000,0,4
50,64.000000,0,4
51,64.000000,0,4
52,62.000000,0,4
53,64.000000,0,4
54,72.000000,0,4
55,76.000000,0,4
56,74.000000,0,4
57,72.000000,0,4
58,72.000000,0,4
59,72.000000,0,4
