,capacity,countFull,countEmpty
0,0.000000,0,0
1,76.000000,0,16
2,52.000000,0,16
3,68.000000,0,16
4,72.000000,0,16
5,56.000000,0,20
6,52.000000,0,20
7,0.000000,0,35
8,0.000000,0,64
9,0.000000,0,96
10,0.000000,0,122
11,36.000000,0,122
12,20.000000,0,122
13,32.000000,0,122
14,24.000000,0,122
15,44.000000,0,122
16,32.000000,0,122
17,28.000000,0,122
18,60.000004,0,122
19,32.000000,0,122
20,0.000000,0,125
21,68.000000,0,136
22,0.000000,0,140
23,0.000000,0,160
24,52.000000,0,171
25,28.000000,0,171
26,0.000000,0,186
27,64.000000,0,192
28,20.000000,0,192
29,0.000000,0,210
30,8.000000,0,231
31,0.000000,0,246
32,24.000000,0,257
33,16.000000,0,257
34,0.000000,0,259
35,0.000000,0,281
36,28.000000,0,284
37,20.000000,0,284
38,20.000000,0,284
39,20.000000,0,286
40,0.000000,0,288
41,0.000000,0,307
42,0.000000,0,339
43,0.000000,0,374
44,0.000000,0,381
45,0.000000,0,398
46,0.000000,0,432
47,0.000000,0,435
48,0.000000,0,454
49,32.000000,0,460
50,8.000000,0,460
51,12.000000,0,475
52,56.000000,0,475
53,52.000000,0,475
54,76.000000,0,475
55,76.000000,0,475
56,84.000000,0,475
57,52.000000,0,475
58,40.000000,0,475
59,0.000000,0,480
