,capacity,countFull,countEmpty
0,0.000000,0,0
1,0.000000,0,4
2,4.000000,0,4
3,22.000000,0,4
4,36.000000,0,4
5,48.000000,0,4
6,52.000000,0,4
7,52.000000,0,4
8,64.000000,0,4
9,70.000000,0,4
10,76.000000,0,4
11,78.000000,0,4
12,72.000000,0,4
13,72.000000,0,4
14,76.000000,0,4
15,76.000000,0,4
16,86.000000,0,4
17,88.000000,0,4
18,94.000000,0,4
19,98.000000,0,4
20,100.000000,1,4
21,98.000000,1,4
22,96.000000,1,4
23,98.000000,1,4
24,100.000000,1,4
25,100.000000,1,4
26,100.000000,3,4
27,100.000000,5,4
28,100.000000,5,4
29,100.000000,7,4
30,100.000000,9,4
31,100.000000,10,4
32,100.000000,10,4
33,100.000000,11,4
34,100.000000,12,4
35,100.000000,15,4
36,100.000000,16,4
37,100.000000,17,4
38,100.000000,18,4
39,100.000000,18,4
40,100.000000,20,4
41,100.000000,21,4
42,100.000000,22,4
43,100.000000,23,4
44,100.000000,23,4
45,100.000000,24,4
46,100.000000,25,4
47,100.000000,28,4
48,100.000000,29,4
49,100.000000,31,4
50,100.000000,31,4
51,100.000000,31,4
52,100.000000,31,4
53,100.000000,33,4
54,100.000000,34,4
55,100.000000,36,4
56,100.000000,37,4
57,100.000000,38,4
58,100.000000,39,4
59,100.000000,40,4
