,capacity,countFull,countEmpty
0,0.000000,0,0
1,0.000000,0,11
2,0.000000,0,13
3,0.000000,0,14
4,4.000000,0,15
5,6.000000,0,15
6,5.000000,0,15
7,7.000000,0,15
8,12.000000,0,15
9,13.000000,0,15
10,12.000000,0,15
11,11.000000,0,15
12,13.000000,0,15
13,16.000000,0,15
14,15.000001,0,15
15,15.000001,0,15
16,13.000000,0,15
17,10.000000,0,15
18,11.000000,0,15
19,9.000000,0,15
20,10.000000,0,15
21,9.000000,0,15
22,11.000000,0,15
23,9.000000,0,15
24,9.000000,0,15
25,9.000000,0,15
26,10.000000,0,15
27,11.000000,0,15
28,12.000000,0,15
29,13.000000,0,15
30,16.000000,0,15
31,10.000000,0,15
32,11.000000,0,15
33,8.000000,0,15
34,2.000000,0,17
35,0.000000,0,18
36,0.000000,0,25
37,0.000000,0,31
38,0.000000,0,35
39,0.000000,0,38
40,0.000000,0,43
41,0.000000,0,44
42,0.000000,0,47
43,0.000000,0,50
44,0.000000,0,53
45,0.000000,0,57
46,0.000000,0,60
47,0.000000,0,65
48,1.000000,0,69
49,2.000000,0,69
50,0.000000,0,70
51,0.000000,0,77
52,0.000000,0,82
53,0.000000,0,84
54,0.000000,0,89
55,0.000000,0,95
56,0.000000,0,97
57,0.000000,0,100
58,0.000000,0,101
59,0.000000,0,105
