,capacity,countFull,countEmpty
0,0.000000,0,0
1,0.000000,0,14
2,0.000000,0,23
3,0.000000,0,26
4,0.000000,0,28
5,0.000000,0,30
6,0.000000,0,35
7,0.000000,0,41
8,0.000000,0,44
9,0.000000,0,47
10,0.000000,0,51
11,0.000000,0,56
12,0.000000,0,60
13,0.000000,0,67
14,0.000000,0,71
15,0.000000,0,75
16,0.000000,0,78
17,0.000000,0,81
18,0.000000,0,87
19,0.000000,0,91
20,0.000000,0,94
21,0.000000,0,97
22,0.000000,0,104
23,0.000000,0,107
24,0.000000,0,110
25,0.000000,0,117
26,0.000000,0,124
27,0.000000,0,126
28,0.000000,0,127
29,0.000000,0,132
30,0.000000,0,136
31,0.000000,0,140
32,0.000000,0,145
33,0.000000,0,148
34,0.000000,0,155
35,0.000000,0,158
36,0.000000,0,163
37,0.000000,0,166
38,0.000000,0,171
39,0.000000,0,174
40,0.000000,0,175
41,0.000000,0,182
42,0.000000,0,185
43,0.000000,0,191
44,0.000000,0,194
45,0.000000,0,196
46,0.000000,0,200
47,0.000000,0,203
48,0.000000,0,209
49,0.000000,0,213
50,0.000000,0,215
51,0.000000,0,219
52,0.000000,0,222
53,0.000000,0,226
54,0.000000,0,229
55,0.000000,0,231
56,0.000000,0,237
57,0.000000,0,240
58,0.000000,0,244
59,0.000000,0,247
