,capacity,countFull,countEmpty
0,0.000000,0,0
1,23.000000,0,2
2,37.000000,0,2
3,41.000000,0,2
4,49.000000,0,2
5,58.000000,0,2
6,63.000000,0,2
7,81.000000,0,2
8,91.000000,0,2
9,99.000000,0,2
10,100.000000,8,2
11,100.000000,11,2
12,100.000000,11,2
13,100.000000,12,2
14,100.000000,14,2
15,100.000000,15,2
16,100.000000,17,2
17,100.000000,17,2
18,100.000000,19,2
19,100.000000,19,2
20,100.000000,20,2
21,100.000000,20,2
22,100.000000,20,2
23,100.000000,24,2
24,100.000000,25,2
25,100.000000,26,2
26,100.000000,27,2
27,100.000000,27,2
28,100.000000,29,2
29,100.000000,29,2
30,100.000000,30,2
31,100.000000,30,2
32,100.000000,31,2
33,100.000000,34,2
34,100.000000,35,2
35,100.000000,36,2
36,100.000000,37,2
37,100.000000,37,2
38,100.000000,38,2
39,100.000000,39,2
40,100.000000,40,2
41,100.000000,40,2
42,100.000000,41,2
43,100.000000,42,2
44,100.000000,46,2
45,100.000000,46,2
46,100.000000,47,2
47,100.000000,47,2
48,100.000000,48,2
49,100.000000,50,2
50,100.000000,52,2
51,100.000000,54,2
52,100.000000,57,2
53,100.000000,57,2
54,100.000000,57,2
55,100.000000,58,2
56,100.000000,60,2
57,100.000000,65,2
58,100.000000,65,2
59,100.000000,67,2
