,capacity,countFull,countEmpty
0,0.000000,0,0
1,0.000000,0,16
2,0.000000,0,24
3,8.000000,0,26
4,6.000000,0,26
5,0.000000,0,29
6,0.000000,0,45
7,0.000000,0,55
8,0.000000,0,62
9,0.000000,0,66
10,0.000000,0,74
11,0.000000,0,82
12,0.000000,0,89
13,0.000000,0,102
14,0.000000,0,110
15,0.000000,0,118
16,0.000000,0,125
17,0.000000,0,133
18,0.000000,0,139
19,0.000000,0,146
20,0.000000,0,154
21,0.000000,0,163
22,0.000000,0,173
23,0.000000,0,179
24,0.000000,0,186
25,4.000000,0,187
26,0.000000,0,191
27,0.000000,0,199
28,0.000000,0,205
29,0.000000,0,213
30,0.000000,0,218
31,0.000000,0,222
32,0.000000,0,229
33,0.000000,0,235
34,0.000000,0,242
35,0.000000,0,254
36,0.000000,0,261
37,0.000000,0,276
38,0.000000,0,282
39,0.000000,0,288
40,0.000000,0,295
41,0.000000,0,305
42,0.000000,0,312
43,0.000000,0,320
44,0.000000,0,329
45,0.000000,0,334
46,0.000000,0,341
47,0.000000,0,347
48,0.000000,0,354
49,0.000000,0,360
50,0.000000,0,367
51,0.000000,0,373
52,0.000000,0,382
53,0.000000,0,386
54,0.000000,0,394
55,0.000000,0,401
56,0.000000,0,410
57,0.000000,0,421
58,0.000000,0,426
59,0.000000,0,434
