,capacity,countFull,countEmpty
0,0.000000,0,0
1,0.000000,0,14
2,0.000000,0,21
3,0.000000,0,29
4,0.000000,0,34
5,0.000000,0,41
6,0.000000,0,51
7,0.000000,0,62
8,0.000000,0,72
9,0.000000,0,78
10,0.000000,0,86
11,0.000000,0,91
12,0.000000,0,103
13,0.000000,0,109
14,0.000000,0,118
15,0.000000,0,126
16,0.000000,0,132
17,0.000000,0,140
18,0.000000,0,146
19,0.000000,0,152
20,0.000000,0,161
21,0.000000,0,168
22,0.000000,0,177
23,0.000000,0,182
24,0.000000,0,192
25,0.000000,0,197
26,0.000000,0,204
27,0.000000,0,210
28,0.000000,0,217
29,0.000000,0,226
30,1.000000,0,227
31,0.000000,0,235
32,0.000000,0,241
33,0.000000,0,247
34,0.000000,0,255
35,0.000000,0,262
36,0.000000,0,267
37,0.000000,0,274
38,0.000000,0,282
39,0.000000,0,290
40,0.000000,0,300
41,0.000000,0,308
42,0.000000,0,315
43,0.000000,0,321
44,0.000000,0,329
45,0.000000,0,331
46,0.000000,0,343
47,0.000000,0,351
48,0.000000,0,360
49,0.000000,0,366
50,0.000000,0,373
51,0.000000,0,377
52,0.000000,0,387
53,0.000000,0,391
54,0.000000,0,406
55,0.000000,0,411
56,0.000000,0,418
57,0.000000,0,421
58,0.000000,0,435
59,0.000000,0,443
