,capacity,countFull,countEmpty
0,0.000000,0,0
1,56.000000,0,6
2,70.000000,0,6
3,90.000000,0,6
4,98.000000,0,6
5,100.000000,2,6
6,100.000000,11,6
7,100.000000,12,6
8,100.000000,13,6
9,100.000000,15,6
10,100.000000,18,6
11,100.000000,20,6
12,100.000000,21,6
13,100.000000,23,6
14,100.000000,24,6
15,100.000000,29,6
16,100.000000,32,6
17,100.000000,33,6
18,100.000000,39,6
19,100.000000,41,6
20,100.000000,46,6
21,100.000000,50,6
22,100.000000,57,6
23,100.000000,61,6
24,100.000000,64,6
25,100.000000,67,6
26,100.000000,70,6
27,100.000000,71,6
28,100.000000,73,6
29,100.000000,75,6
30,100.000000,75,6
31,100.000000,82,6
32,100.000000,86,6
33,100.000000,90,6
34,92.000000,90,6
35,88.000000,90,6
36,100.000000,92,6
37,100.000000,101,6
38,100.000000,102,6
39,100.000000,107,6
40,100.000000,112,6
41,100.000000,114,6
42,100.000000,120,6
43,100.000000,125,6
44,100.000000,130,6
45,100.000000,138,6
46,100.000000,143,6
47,100.000000,146,6
48,100.000000,147,6
49,100.000000,155,6
50,100.000000,163,6
51,100.000000,166,6
52,100.000000,169,6
53,100.000000,172,6
54,100.000000,173,6
55,100.000000,178,6
56,100.000000,182,6
57,100.000000,182,6
58,100.000000,183,6
59,100.000000,184,6
