,capacity,countFull,countEmpty
0,0.000000,0,0
1,0.000000,0,11
2,12.000000,0,11
3,44.000000,0,11
4,56.000000,0,11
5,64.000000,0,11
6,60.000004,0,11
7,56.000000,0,11
8,60.000004,0,11
9,60.000004,0,11
10,84.000000,0,11
11,80.000000,0,11
12,88.000000,0,11
13,84.000000,0,11
14,76.000000,0,11
15,72.000000,0,11
16,60.000004,0,11
17,60.000004,0,11
18,60.000004,0,11
19,44.000000,0,11
20,44.000000,0,11
21,36.000000,0,11
22,24.000000,0,11
23,48.000000,0,11
24,32.000000,0,11
25,36.000000,0,11
26,40.000000,0,11
27,48.000000,0,11
28,56.000000,0,11
29,56.000000,0,11
30,60.000004,0,11
31,44.000000,0,11
32,48.000000,0,11
33,12.000000,0,11
34,0.000000,0,13
35,0.000000,0,16
36,0.000000,0,24
37,0.000000,0,31
38,0.000000,0,38
39,0.000000,0,41
40,12.000000,0,42
41,12.000000,0,42
42,12.000000,0,42
43,16.000000,0,42
44,28.000000,0,42
45,20.000000,0,42
46,24.000000,0,42
47,0.000000,0,43
48,0.000000,0,50
49,0.000000,0,55
50,0.000000,0,56
51,16.000000,0,56
52,24.000000,0,56
53,32.000000,0,56
54,28.000000,0,56
55,48.000000,0,56
56,60.000004,0,56
57,52.000000,0,56
58,48.000000,0,56
59,68.000000,0,56
