,capacity,countFull,countEmpty
0,0.000000,0,0
1,0.000000,0,9
2,0.000000,0,10
3,12.000000,0,10
4,16.000000,0,10
5,12.000000,0,10
6,24.000000,0,10
7,24.000000,0,10
8,40.000000,0,10
9,44.000000,0,10
10,44.000000,0,10
11,48.000000,0,10
12,44.000000,0,10
13,44.000000,0,10
14,52.000000,0,10
15,48.000000,0,10
16,44.000000,0,10
17,24.000000,0,10
18,40.000000,0,10
19,32.000000,0,10
20,12.000000,0,10
21,8.000000,0,10
22,0.000000,0,14
23,0.000000,0,17
24,0.000000,0,19
25,0.000000,0,20
26,0.000000,0,21
27,0.000000,0,23
28,0.000000,0,25
29,0.000000,0,27
30,12.000000,0,27
31,36.000000,0,27
32,40.000000,0,27
33,32.000000,0,27
34,20.000000,0,27
35,4.000000,0,27
36,0.000000,0,30
37,0.000000,0,33
38,0.000000,0,35
39,0.000000,0,43
40,0.000000,0,45
41,0.000000,0,51
42,0.000000,0,54
43,0.000000,0,57
44,0.000000,0,62
45,0.000000,0,65
46,0.000000,0,70
47,0.000000,0,72
48,0.000000,0,75
49,0.000000,0,78
50,0.000000,0,79
51,0.000000,0,81
52,0.000000,0,81
53,0.000000,0,84
54,0.000000,0,88
55,0.000000,0,91
56,0.000000,0,94
57,0.000000,0,102
58,0.000000,0,106
59,0.000000,0,112
