,capacity,countFull,countEmpty
0,0.000000,0,0
1,0.000000,0,10
2,2.000000,0,11
3,4.000000,0,11
4,0.000000,0,13
5,2.000000,0,14
6,12.000000,0,14
7,16.000000,0,14
8,26.000000,0,14
9,22.000000,0,14
10,18.000000,0,14
11,20.000000,0,14
12,24.000000,0,14
13,36.000000,0,14
14,32.000000,0,14
15,34.000000,0,14
16,30.000002,0,14
17,22.000000,0,14
18,16.000000,0,14
19,16.000000,0,14
20,14.000000,0,14
21,10.000000,0,14
22,2.000000,0,14
23,6.000000,0,14
24,0.000000,0,14
25,0.000000,0,17
26,6.000000,0,17
27,14.000000,0,17
28,12.000000,0,17
29,18.000000,0,17
30,20.000000,0,17
31,18.000000,0,17
32,20.000000,0,17
33,10.000000,0,17
34,0.000000,0,23
35,0.000000,0,28
36,0.000000,0,35
37,0.000000,0,38
38,0.000000,0,45
39,0.000000,0,47
40,0.000000,0,51
41,0.000000,0,56
42,0.000000,0,61
43,0.000000,0,62
44,0.000000,0,65
45,0.000000,0,69
46,0.000000,0,71
47,0.000000,0,78
48,4.000000,0,78
49,0.000000,0,82
50,0.000000,0,87
51,0.000000,0,93
52,0.000000,0,96
53,0.000000,0,102
54,0.000000,0,105
55,4.000000,0,106
56,0.000000,0,109
57,0.000000,0,114
58,0.000000,0,116
59,0.000000,0,119
