,capacity,countFull,countEmpty
0,0.000000,0,0
1,0.000000,0,5
2,0.000000,0,9
3,32.000000,0,10
4,60.000004,0,10
5,64.000000,0,10
6,84.000000,0,10
7,84.000000,0,10
8,96.000000,0,10
9,100.000000,3,10
10,100.000000,5,10
11,100.000000,6,10
12,100.000000,7,10
13,100.000000,7,10
14,100.000000,7,10
15,100.000000,8,10
16,100.000000,12,10
17,100.000000,13,10
18,100.000000,14,10
19,100.000000,14,10
20,100.000000,17,10
21,100.000000,18,10
22,100.000000,18,10
23,100.000000,18,10
24,100.000000,20,10
25,100.000000,22,10
26,100.000000,22,10
27,100.000000,24,10
28,100.000000,27,10
29,100.000000,27,10
30,100.000000,27,10
31,100.000000,29,10
32,100.000000,29,10
33,100.000000,29,10
34,100.000000,31,10
35,100.000000,34,10
36,100.000000,35,10
37,100.000000,36,10
38,100.000000,36,10
39,100.000000,37,10
40,100.000000,37,10
41,100.000000,37,10
42,100.000000,39,10
43,100.000000,39,10
44,100.000000,41,10
45,100.000000,41,10
46,100.000000,43,10
47,100.000000,43,10
48,100.000000,44,10
49,100.000000,44,10
50,96.000000,44,10
51,96.000000,44,10
52,100.000000,44,10
53,100.000000,45,10
54,100.000000,47,10
55,100.000000,50,10
56,100.000000,52,10
57,100.000000,55,10
58,100.000000,56,10
59,100.000000,57,10
